Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region,Fatality_Rate
Jiangsu,China,32.9711,119.455,2020-02-29,631,0,523,108,Western Pacific,0.0
Jiangxi,China,27.614,115.7221,2020-02-29,935,1,811,123,Western Pacific,0.10695187165775401
Jilin,China,43.6661,126.1923,2020-02-29,93,1,75,17,Western Pacific,1.0752688172043012
Liaoning,China,41.2956,122.6085,2020-02-29,121,1,96,24,Western Pacific,0.8264462809917356
Macau,China,22.1667,113.55,2020-02-29,10,0,8,2,Western Pacific,0.0
Ningxia,China,37.2692,106.1655,2020-02-29,73,0,69,4,Western Pacific,0.0
Qinghai,China,35.7452,95.9956,2020-02-29,18,0,18,0,Western Pacific,0.0
Shaanxi,China,35.1917,108.8701,2020-02-29,245,1,207,37,Western Pacific,0.40816326530612246
Shandong,China,36.3427,118.1498,2020-02-29,756,6,421,329,Western Pacific,0.7936507936507936
Shanghai,China,31.202,121.4491,2020-02-29,337,3,287,47,Western Pacific,0.8902077151335311
Shanxi,China,37.5777,112.2922,2020-02-29,133,0,114,19,Western Pacific,0.0
Sichuan,China,30.6171,102.7103,2020-02-29,538,3,351,184,Western Pacific,0.5576208178438662
Tianjin,China,39.3054,117.323,2020-02-29,136,3,109,24,Western Pacific,2.2058823529411766
Tibet,China,31.6927,88.0924,2020-02-29,1,0,1,0,Western Pacific,0.0
Xinjiang,China,41.1129,85.2401,2020-02-29,76,3,62,11,Western Pacific,3.9473684210526314
Yunnan,China,24.974,101.487,2020-02-29,174,2,157,15,Western Pacific,1.1494252873563218
Zhejiang,China,29.1832,120.0934,2020-02-29,1205,1,1016,188,Western Pacific,0.08298755186721991
0,Colombia,4.5709,-74.2973,2020-02-29,0,0,0,0,Americas,
0,Congo (Brazzaville),-0.228,15.8277,2020-02-29,0,0,0,0,Africa,
0,Congo (Kinshasa),-4.0383,21.7587,2020-02-29,0,0,0,0,Africa,
0,Costa Rica,9.7489,-83.7534,2020-02-29,0,0,0,0,Americas,
0,Cote d'Ivoire,7.54,-5.5471,2020-02-29,0,0,0,0,Africa,
0,Croatia,45.1,15.2,2020-02-29,6,0,0,6,Europe,0.0
0,Cuba,21.521757,-77.78116700000002,2020-02-29,0,0,0,0,Americas,
0,Cyprus,35.1264,33.4299,2020-02-29,0,0,0,0,Europe,
0,Czechia,49.8175,15.473,2020-02-29,0,0,0,0,Europe,
Faroe Islands,Denmark,61.8926,-6.9118,2020-02-29,0,0,0,0,Europe,
Greenland,Greenland,71.7069,-42.6043,2020-02-29,0,0,0,0,Europe,
0,Denmark,56.2639,9.5018,2020-02-29,3,0,0,3,Europe,0.0
0,Djibouti,11.8251,42.5903,2020-02-29,0,0,0,0,Eastern Mediterranean,
0,Dominican Republic,18.7357,-70.1627,2020-02-29,0,0,0,0,Americas,
0,Ecuador,-1.8312,-78.1834,2020-02-29,0,0,0,0,Americas,
0,Egypt,26.820553000000004,30.802498,2020-02-29,1,0,1,0,Eastern Mediterranean,0.0
0,El Salvador,13.7942,-88.8965,2020-02-29,0,0,0,0,Americas,
0,Equatorial Guinea,1.6508,10.2679,2020-02-29,0,0,0,0,Africa,
0,Eritrea,15.1794,39.7823,2020-02-29,0,0,0,0,Africa,
0,Estonia,58.5953,25.0136,2020-02-29,1,0,0,1,Europe,0.0
0,Eswatini,-26.5225,31.4659,2020-02-29,0,0,0,0,Africa,
0,Ethiopia,9.145,40.4897,2020-02-29,0,0,0,0,Africa,
0,Fiji,-17.7134,178.065,2020-02-29,0,0,0,0,Western Pacific,
0,Finland,61.92411,25.748151,2020-02-29,3,0,1,2,Europe,0.0
French Guiana,France,3.9339,-53.1258,2020-02-29,0,0,0,0,Europe,
French Polynesia,France,-17.6797,149.4068,2020-02-29,0,0,0,0,Europe,
Guadeloupe,France,16.265,-61.551,2020-02-29,0,0,0,0,Europe,
Mayotte,France,-12.8275,45.166244,2020-02-29,0,0,0,0,Europe,
New Caledonia,France,-20.904305,165.618042,2020-02-29,0,0,0,0,Europe,
Reunion,France,-21.1151,55.5364,2020-02-29,0,0,0,0,Europe,
Saint Barthelemy,France,17.9,-62.8333,2020-02-29,0,0,0,0,Europe,
St Martin,France,18.0708,-63.0501,2020-02-29,0,0,0,0,Europe,
Martinique,France,14.6415,-61.0242,2020-02-29,0,0,0,0,Europe,
0,France,46.2276,2.2137,2020-02-29,100,2,12,86,Europe,2.0
0,Gabon,-0.8037,11.6094,2020-02-29,0,0,0,0,Africa,
0,Gambia,13.4432,-15.3101,2020-02-29,0,0,0,0,Africa,
0,Georgia,42.3154,43.3569,2020-02-29,1,0,0,1,Europe,0.0
0,Germany,51.165691,10.451526,2020-02-29,79,0,16,63,Europe,0.0
0,Ghana,7.9465,-1.0232,2020-02-29,0,0,0,0,Africa,
0,Greece,39.0742,21.8243,2020-02-29,4,0,0,4,Europe,0.0
0,Guatemala,15.7835,-90.2308,2020-02-29,0,0,0,0,Americas,
0,Guinea,9.9456,-9.6966,2020-02-29,0,0,0,0,Africa,
0,Guyana,4.860416000000002,-58.93018000000001,2020-02-29,0,0,0,0,Americas,
0,Haiti,18.9712,-72.2852,2020-02-29,0,0,0,0,Americas,
0,Holy See,41.9029,12.4534,2020-02-29,0,0,0,0,Europe,
0,Honduras,15.2,-86.2419,2020-02-29,0,0,0,0,Americas,
0,Hungary,47.1625,19.5033,2020-02-29,0,0,0,0,Europe,
0,Iceland,64.9631,-19.0208,2020-02-29,1,0,0,1,Europe,0.0
0,India,20.593684,78.96288,2020-02-29,3,0,3,0,South-East Asia,0.0
0,Indonesia,-0.7893,113.9213,2020-02-29,0,0,0,0,South-East Asia,
0,Iran,32.427908,53.68804599999999,2020-02-29,593,43,123,427,Eastern Mediterranean,7.251264755480608
0,Iraq,33.223191,43.679291,2020-02-29,13,0,0,13,Eastern Mediterranean,0.0
0,Ireland,53.1424,-7.6921,2020-02-29,1,0,0,1,Europe,0.0
0,Israel,31.046051,34.851612,2020-02-29,7,0,1,6,Europe,0.0
0,Italy,41.87194,12.56738,2020-02-29,1128,29,46,1053,Europe,2.5709219858156027
0,Jamaica,18.1096,-77.2975,2020-02-29,0,0,0,0,Americas,
0,Japan,36.204824,138.252924,2020-02-29,245,6,32,207,Western Pacific,2.4489795918367347
0,Jordan,31.24,36.51,2020-02-29,0,0,0,0,Eastern Mediterranean,
0,Kazakhstan,48.0196,66.9237,2020-02-29,0,0,0,0,Europe,
0,Kenya,-0.0236,37.9062,2020-02-29,0,0,0,0,Africa,
0,South Korea,35.90775700000001,127.766922,2020-02-29,3150,16,27,3107,Western Pacific,0.5079365079365079
0,Kuwait,29.31166,47.481766,2020-02-29,45,0,0,45,Eastern Mediterranean,0.0
0,Kyrgyzstan,41.20438,74.766098,2020-02-29,0,0,0,0,Europe,
0,Latvia,56.8796,24.6032,2020-02-29,0,0,0,0,Europe,
0,Lebanon,33.8547,35.8623,2020-02-29,4,0,0,4,Eastern Mediterranean,0.0
0,Liberia,6.4280550000000005,-9.429499,2020-02-29,0,0,0,0,Africa,
0,Liechtenstein,47.14,9.55,2020-02-29,0,0,0,0,Europe,
0,Lithuania,55.1694,23.8813,2020-02-29,1,0,0,1,Europe,0.0
0,Luxembourg,49.8153,6.1296,2020-02-29,1,0,0,1,Europe,0.0
0,Madagascar,-18.766947,46.869107,2020-02-29,0,0,0,0,Africa,
0,Malaysia,4.210483999999999,101.975766,2020-02-29,25,0,18,7,Western Pacific,0.0
0,Maldives,3.2028,73.2207,2020-02-29,0,0,0,0,South-East Asia,
0,Malta,35.9375,14.3754,2020-02-29,0,0,0,0,Europe,
0,Mauritania,21.0079,-10.9408,2020-02-29,0,0,0,0,Africa,
0,Mauritius,-20.348404,57.552152,2020-02-29,0,0,0,0,Africa,
0,Mexico,23.6345,-102.5528,2020-02-29,4,0,0,4,Americas,0.0
0,Moldova,47.4116,28.3699,2020-02-29,0,0,0,0,Europe,
0,Monaco,43.7333,7.4167,2020-02-29,1,0,0,1,Europe,0.0
0,Mongolia,46.8625,103.8467,2020-02-29,0,0,0,0,Western Pacific,
0,Montenegro,42.708678000000006,19.37439,2020-02-29,0,0,0,0,Europe,
0,Morocco,31.7917,-7.0926,2020-02-29,0,0,0,0,Eastern Mediterranean,
0,Namibia,-22.9576,18.4904,2020-02-29,0,0,0,0,Africa,
0,Nepal,28.1667,84.25,2020-02-29,1,0,1,0,South-East Asia,0.0
Aruba,Netherlands,12.5211,-69.9683,2020-02-29,0,0,0,0,Europe,
Curacao,Netherlands,12.1696,-68.99,2020-02-29,0,0,0,0,Europe,
Sint Maarten,Netherlands,18.0425,-63.0548,2020-02-29,0,0,0,0,Europe,
0,Netherlands,52.1326,5.2913,2020-02-29,6,0,0,6,Europe,0.0
0,New Zealand,-40.9006,174.886,2020-02-29,1,0,0,1,Western Pacific,0.0
0,Nicaragua,12.865416,-85.207229,2020-02-29,0,0,0,0,Americas,
0,Niger,17.607789,8.081666,2020-02-29,0,0,0,0,Africa,
0,Nigeria,9.082,8.6753,2020-02-29,1,0,0,1,Africa,0.0
0,North Macedonia,41.6086,21.7453,2020-02-29,1,0,0,1,Europe,0.0
0,Norway,60.472,8.4689,2020-02-29,15,0,0,15,Europe,0.0
0,Oman,21.512583,55.92325500000001,2020-02-29,6,0,1,5,Eastern Mediterranean,0.0
0,Pakistan,30.3753,69.3451,2020-02-29,4,0,0,4,Eastern Mediterranean,0.0
0,Panama,8.538,-80.7821,2020-02-29,0,0,0,0,Americas,
0,Papua New Guinea,-6.314993,143.95555,2020-02-29,0,0,0,0,Western Pacific,
0,Paraguay,-23.4425,-58.4438,2020-02-29,0,0,0,0,Americas,
0,Peru,-9.19,-75.0152,2020-02-29,0,0,0,0,Americas,
0,Philippines,12.879721,121.774017,2020-02-29,3,1,1,1,Western Pacific,33.33333333333333
0,Poland,51.9194,19.1451,2020-02-29,0,0,0,0,Europe,
0,Portugal,39.3999,-8.2245,2020-02-29,0,0,0,0,Europe,
0,Qatar,25.3548,51.1839,2020-02-29,1,0,0,1,Eastern Mediterranean,0.0
0,Romania,45.9432,24.9668,2020-02-29,3,0,0,3,Europe,0.0
0,Russia,61.52401,105.318756,2020-02-29,2,0,2,0,Europe,0.0
0,Rwanda,-1.9403,29.8739,2020-02-29,0,0,0,0,Africa,
0,Saint Lucia,13.9094,-60.9789,2020-02-29,0,0,0,0,Americas,
0,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-02-29,0,0,0,0,Americas,
0,San Marino,43.9424,12.4578,2020-02-29,1,0,0,1,Europe,0.0
0,Saudi Arabia,23.885942,45.079162,2020-02-29,0,0,0,0,Eastern Mediterranean,
0,Senegal,14.4974,-14.4524,2020-02-29,0,0,0,0,Africa,
0,Serbia,44.0165,21.0059,2020-02-29,0,0,0,0,Europe,
0,Seychelles,-4.6796,55.492,2020-02-29,0,0,0,0,Africa,
0,Singapore,1.2833,103.8333,2020-02-29,102,0,72,30,Western Pacific,0.0
0,Slovakia,48.669,19.699,2020-02-29,0,0,0,0,Europe,
0,Slovenia,46.1512,14.9955,2020-02-29,0,0,0,0,Europe,
0,Somalia,5.152149,46.199616,2020-02-29,0,0,0,0,Eastern Mediterranean,
0,South Africa,-30.5595,22.9375,2020-02-29,0,0,0,0,Africa,
0,Spain,40.463667,-3.74922,2020-02-29,45,0,2,43,Europe,0.0
0,Sri Lanka,7.873054,80.77179699999998,2020-02-29,1,0,1,0,South-East Asia,0.0
0,Sudan,12.8628,30.2176,2020-02-29,0,0,0,0,Eastern Mediterranean,
0,Suriname,3.9193,-56.0278,2020-02-29,0,0,0,0,Americas,
0,Sweden,60.128161,18.643501,2020-02-29,12,0,0,12,Europe,0.0
0,Switzerland,46.8182,8.2275,2020-02-29,18,0,0,18,Europe,0.0
0,Taiwan*,23.7,121.0,2020-02-29,39,1,9,29,Western Pacific,2.564102564102564
0,Tanzania,-6.369028,34.888822,2020-02-29,0,0,0,0,Africa,
0,Thailand,15.870032,100.992541,2020-02-29,42,0,28,14,South-East Asia,0.0
0,Togo,8.6195,0.8248,2020-02-29,0,0,0,0,Africa,
0,Trinidad and Tobago,10.6918,-61.2225,2020-02-29,0,0,0,0,Americas,
0,Tunisia,33.886917,9.537499,2020-02-29,0,0,0,0,Eastern Mediterranean,
0,Turkey,38.9637,35.2433,2020-02-29,0,0,0,0,Europe,
0,Uganda,1.373333,32.290275,2020-02-29,0,0,0,0,Africa,
0,Ukraine,48.3794,31.1656,2020-02-29,0,0,0,0,Europe,
0,United Arab Emirates,23.424076,53.847818,2020-02-29,21,0,5,16,Eastern Mediterranean,0.0
Bermuda,United Kingdom,32.3078,-64.7505,2020-02-29,0,0,0,0,Europe,
Cayman Islands,United Kingdom,19.3133,-81.2546,2020-02-29,0,0,0,0,Europe,
Channel Islands,United Kingdom,49.3723,-2.3644,2020-02-29,0,0,0,0,Europe,
Gibraltar,United Kingdom,36.1408,-5.3536,2020-02-29,0,0,0,0,Europe,
Isle of Man,United Kingdom,54.2361,-4.5481,2020-02-29,0,0,0,0,Europe,
Montserrat,United Kingdom,16.742498,-62.187366,2020-02-29,0,0,0,0,Europe,
0,United Kingdom,55.3781,-3.4360000000000004,2020-02-29,61,0,8,53,Europe,0.0
0,Uruguay,-32.5228,-55.7658,2020-02-29,0,0,0,0,Americas,
0,US,40.0,-100.0,2020-02-29,24,1,7,16,Americas,4.166666666666666
0,Uzbekistan,41.377491,64.585262,2020-02-29,0,0,0,0,Europe,
0,Venezuela,6.4238,-66.5897,2020-02-29,0,0,0,0,Americas,
0,Vietnam,14.058324,108.277199,2020-02-29,16,0,16,0,Western Pacific,0.0
0,Zambia,-13.133897,27.849332,2020-02-29,0,0,0,0,Africa,
0,Zimbabwe,-19.015438,29.154857,2020-02-29,0,0,0,0,Africa,
0,Dominica,15.415,-61.371,2020-02-29,0,0,0,0,Americas,
0,Grenada,12.1165,-61.679,2020-02-29,0,0,0,0,Americas,
0,Mozambique,-18.665695,35.529562,2020-02-29,0,0,0,0,Africa,
0,Syria,34.802075,38.99681500000001,2020-02-29,0,0,0,0,Eastern Mediterranean,
0,Timor-Leste,-8.874217,125.727539,2020-02-29,0,0,0,0,South-East Asia,
0,Belize,17.1899,-88.4976,2020-02-29,0,0,0,0,Americas,
0,Laos,19.85627,102.495496,2020-02-29,0,0,0,0,Western Pacific,
0,Libya,26.3351,17.228331,2020-02-29,0,0,0,0,Eastern Mediterranean,
0,West Bank and Gaza,31.9522,35.2332,2020-02-29,0,0,0,0,Eastern Mediterranean,
0,Guinea-Bissau,11.8037,-15.1804,2020-02-29,0,0,0,0,Africa,
0,Mali,17.570692,-3.996166000000001,2020-02-29,0,0,0,0,Africa,
0,Saint Kitts and Nevis,17.357822,-62.782998,2020-02-29,0,0,0,0,Americas,
Northwest Territories,Canada,64.8255,-124.8457,2020-02-29,0,0,0,0,Americas,
Yukon,Canada,64.2823,-135.0,2020-02-29,0,0,0,0,Americas,
0,Kosovo,42.602636,20.902977,2020-02-29,0,0,0,0,Europe,
0,Burma,21.9162,95.956,2020-02-29,0,0,0,0,South-East Asia,
Anguilla,United Kingdom,18.2206,-63.0686,2020-02-29,0,0,0,0,Europe,
British Virgin Islands,United Kingdom,18.4207,-64.64,2020-02-29,0,0,0,0,Europe,
Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,2020-02-29,0,0,0,0,Europe,
0,Botswana,-22.3285,24.6849,2020-02-29,0,0,0,0,Africa,
0,Burundi,-3.3731,29.9189,2020-02-29,0,0,0,0,Africa,
0,Sierra Leone,8.460555000000001,-11.779889,2020-02-29,0,0,0,0,Africa,
0,Malawi,-13.2543,34.3015,2020-02-29,0,0,0,0,Africa,
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2020-02-29,0,0,0,0,Europe,
Saint Pierre and Miquelon,France,46.8852,-56.3159,2020-02-29,0,0,0,0,Europe,
0,South Sudan,6.877000000000002,31.307,2020-02-29,0,0,0,0,Africa,
0,Western Sahara,24.2155,-12.8858,2020-02-29,0,0,0,0,Africa,
0,Sao Tome and Principe,0.1864,6.6131,2020-02-29,0,0,0,0,Africa,
0,Yemen,15.552727,48.516388,2020-02-29,0,0,0,0,Eastern Mediterranean,
0,Comoros,-11.6455,43.3333,2020-02-29,0,0,0,0,Africa,
0,Tajikistan,38.861,71.2761,2020-02-29,0,0,0,0,Europe,
0,Lesotho,-29.61,28.2336,2020-02-29,0,0,0,0,Africa,
0,Afghanistan,33.93911,67.709953,2020-03-01,1,0,0,1,Eastern Mediterranean,0.0
0,Albania,41.1533,20.1683,2020-03-01,0,0,0,0,Europe,
0,Algeria,28.0339,1.6596,2020-03-01,1,0,0,1,Africa,0.0
0,Andorra,42.5063,1.5218,2020-03-01,0,0,0,0,Europe,
0,Angola,-11.2027,17.8739,2020-03-01,0,0,0,0,Africa,
0,Antigua and Barbuda,17.0608,-61.7964,2020-03-01,0,0,0,0,Americas,
0,Argentina,-38.4161,-63.6167,2020-03-01,0,0,0,0,Americas,
0,Armenia,40.0691,45.0382,2020-03-01,1,0,0,1,Europe,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-01,0,0,0,0,Western Pacific,
New South Wales,Australia,-33.8688,151.2093,2020-03-01,6,0,4,2,Western Pacific,0.0
Northern Territory,Australia,-12.4634,130.8456,2020-03-01,0,0,0,0,Western Pacific,
Queensland,Australia,-27.4698,153.0251,2020-03-01,9,0,1,8,Western Pacific,0.0
South Australia,Australia,-34.9285,138.6007,2020-03-01,3,0,2,1,Western Pacific,0.0
Tasmania,Australia,-42.8821,147.3272,2020-03-01,0,0,0,0,Western Pacific,
Victoria,Australia,-37.8136,144.9631,2020-03-01,7,0,4,3,Western Pacific,0.0
Western Australia,Australia,-31.9505,115.8605,2020-03-01,2,1,0,1,Western Pacific,50.0
0,Austria,47.5162,14.5501,2020-03-01,14,0,0,14,Europe,0.0
0,Azerbaijan,40.1431,47.5769,2020-03-01,3,0,0,3,Europe,0.0
0,Bahamas,25.025885,-78.035889,2020-03-01,0,0,0,0,Americas,
0,Bahrain,26.0275,50.55,2020-03-01,47,0,0,47,Eastern Mediterranean,0.0
0,Bangladesh,23.685,90.3563,2020-03-01,0,0,0,0,South-East Asia,
0,Barbados,13.1939,-59.5432,2020-03-01,0,0,0,0,Americas,
0,Belarus,53.7098,27.9534,2020-03-01,1,0,0,1,Europe,0.0
0,Belgium,50.8333,4.469936,2020-03-01,2,0,1,1,Europe,0.0
0,Benin,9.3077,2.3158,2020-03-01,0,0,0,0,Africa,
0,Bhutan,27.5142,90.4336,2020-03-01,0,0,0,0,South-East Asia,
0,Bolivia,-16.2902,-63.5887,2020-03-01,0,0,0,0,Americas,
0,Bosnia and Herzegovina,43.9159,17.6791,2020-03-01,0,0,0,0,Europe,
0,Brazil,-14.235,-51.9253,2020-03-01,2,0,0,2,Americas,0.0
0,Brunei,4.5353,114.7277,2020-03-01,0,0,0,0,Western Pacific,
0,Bulgaria,42.7339,25.4858,2020-03-01,0,0,0,0,Europe,
0,Burkina Faso,12.2383,-1.5616,2020-03-01,0,0,0,0,Africa,
0,Cabo Verde,16.5388,-23.0418,2020-03-01,0,0,0,0,Africa,
0,Cambodia,11.55,104.9167,2020-03-01,1,0,1,0,Western Pacific,0.0
0,Cameroon,3.848,11.5021,2020-03-01,0,0,0,0,Africa,
Alberta,Canada,53.9333,-116.5765,2020-03-01,0,0,0,0,Americas,
British Columbia,Canada,53.7267,-127.6476,2020-03-01,8,0,0,8,Americas,0.0
Manitoba,Canada,53.7609,-98.8139,2020-03-01,0,0,0,0,Americas,
New Brunswick,Canada,46.5653,-66.4619,2020-03-01,0,0,0,0,Americas,
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-03-01,0,0,0,0,Americas,
Nova Scotia,Canada,44.682,-63.7443,2020-03-01,0,0,0,0,Americas,
Ontario,Canada,51.2538,-85.3232,2020-03-01,15,0,0,15,Americas,0.0
Prince Edward Island,Canada,46.5107,-63.4168,2020-03-01,0,0,0,0,Americas,
Quebec,Canada,52.9399,-73.5491,2020-03-01,1,0,0,1,Americas,0.0
Saskatchewan,Canada,52.9399,-106.4509,2020-03-01,0,0,0,0,Americas,
0,Central African Republic,6.6111,20.9394,2020-03-01,0,0,0,0,Africa,
0,Chad,15.4542,18.7322,2020-03-01,0,0,0,0,Africa,
0,Chile,-35.6751,-71.543,2020-03-01,9,0,0,9,Americas,0.0
Anhui,China,31.8257,117.2264,2020-03-01,990,6,873,111,Western Pacific,0.6060606060606061
Beijing,China,40.1824,116.4142,2020-03-01,413,8,276,129,Western Pacific,1.937046004842615
Chongqing,China,30.0572,107.874,2020-03-01,576,6,450,120,Western Pacific,1.0416666666666665
Fujian,China,26.0789,117.9874,2020-03-01,296,1,247,48,Western Pacific,0.33783783783783783
Gansu,China,35.7518,104.2861,2020-03-01,91,2,84,5,Western Pacific,2.197802197802198
Guangdong,China,23.3417,113.4244,2020-03-01,1349,7,1016,326,Western Pacific,0.5189028910303929
Guangxi,China,23.8298,108.7881,2020-03-01,252,2,181,69,Western Pacific,0.7936507936507936
Guizhou,China,26.8154,106.8748,2020-03-01,146,2,112,32,Western Pacific,1.36986301369863
Hainan,China,19.1959,109.7453,2020-03-01,168,5,149,14,Western Pacific,2.976190476190476
Hebei,China,39.549,116.1306,2020-03-01,318,6,0,312,Western Pacific,1.8867924528301887
Heilongjiang,China,47.862,127.7615,2020-03-01,480,13,342,125,Western Pacific,2.7083333333333335
Henan,China,37.8957,114.9042,2020-03-01,1272,22,0,1250,Western Pacific,1.729559748427673
Hong Kong,China,22.3,114.2,2020-03-01,96,2,36,58,Western Pacific,2.083333333333333
Hubei,China,30.9756,112.2707,2020-03-01,66907,2761,31536,32610,Western Pacific,4.126623522202459
Hunan,China,27.6104,111.7088,2020-03-01,1018,4,866,148,Western Pacific,0.3929273084479371
Inner Mongolia,China,44.0935,113.9448,2020-03-01,75,0,52,23,Western Pacific,0.0
Jiangsu,China,32.9711,119.455,2020-03-01,631,0,536,95,Western Pacific,0.0
Jiangxi,China,27.614,115.7221,2020-03-01,935,1,831,103,Western Pacific,0.10695187165775401
Jilin,China,43.6661,126.1923,2020-03-01,93,1,78,14,Western Pacific,1.0752688172043012
Liaoning,China,41.2956,122.6085,2020-03-01,122,1,103,18,Western Pacific,0.819672131147541
Macau,China,22.1667,113.55,2020-03-01,10,0,8,2,Western Pacific,0.0
Ningxia,China,37.2692,106.1655,2020-03-01,73,0,69,4,Western Pacific,0.0
Qinghai,China,35.7452,95.9956,2020-03-01,18,0,18,0,Western Pacific,0.0
Shaanxi,China,35.1917,108.8701,2020-03-01,245,1,208,36,Western Pacific,0.40816326530612246
Shandong,China,36.3427,118.1498,2020-03-01,758,6,443,309,Western Pacific,0.79155672823219
Shanghai,China,31.202,121.4491,2020-03-01,337,3,290,44,Western Pacific,0.8902077151335311
Shanxi,China,37.5777,112.2922,2020-03-01,133,0,116,17,Western Pacific,0.0
Sichuan,China,30.6171,102.7103,2020-03-01,538,3,365,170,Western Pacific,0.5576208178438662
Tianjin,China,39.3054,117.323,2020-03-01,136,3,111,22,Western Pacific,2.2058823529411766
Tibet,China,31.6927,88.0924,2020-03-01,1,0,1,0,Western Pacific,0.0
Xinjiang,China,41.1129,85.2401,2020-03-01,76,3,64,9,Western Pacific,3.9473684210526314
Yunnan,China,24.974,101.487,2020-03-01,174,2,163,9,Western Pacific,1.1494252873563218
Zhejiang,China,29.1832,120.0934,2020-03-01,1205,1,1046,158,Western Pacific,0.08298755186721991
0,Colombia,4.5709,-74.2973,2020-03-01,0,0,0,0,Americas,
0,Congo (Brazzaville),-0.228,15.8277,2020-03-01,0,0,0,0,Africa,
0,Congo (Kinshasa),-4.0383,21.7587,2020-03-01,0,0,0,0,Africa,
0,Costa Rica,9.7489,-83.7534,2020-03-01,0,0,0,0,Americas,
0,Cote d'Ivoire,7.54,-5.5471,2020-03-01,0,0,0,0,Africa,
0,Croatia,45.1,15.2,2020-03-01,7,0,0,7,Europe,0.0
0,Cuba,21.521757,-77.78116700000002,2020-03-01,0,0,0,0,Americas,
0,Cyprus,35.1264,33.4299,2020-03-01,0,0,0,0,Europe,
0,Czechia,49.8175,15.473,2020-03-01,3,0,0,3,Europe,0.0
Faroe Islands,Denmark,61.8926,-6.9118,2020-03-01,0,0,0,0,Europe,
Greenland,Greenland,71.7069,-42.6043,2020-03-01,0,0,0,0,Europe,
0,Denmark,56.2639,9.5018,2020-03-01,4,0,0,4,Europe,0.0
0,Djibouti,11.8251,42.5903,2020-03-01,0,0,0,0,Eastern Mediterranean,
0,Dominican Republic,18.7357,-70.1627,2020-03-01,1,0,0,1,Americas,0.0
0,Ecuador,-1.8312,-78.1834,2020-03-01,6,0,0,6,Americas,0.0
0,Egypt,26.820553000000004,30.802498,2020-03-01,2,0,1,1,Eastern Mediterranean,0.0
0,El Salvador,13.7942,-88.8965,2020-03-01,0,0,0,0,Americas,
0,Equatorial Guinea,1.6508,10.2679,2020-03-01,0,0,0,0,Africa,
0,Eritrea,15.1794,39.7823,2020-03-01,0,0,0,0,Africa,
0,Estonia,58.5953,25.0136,2020-03-01,1,0,0,1,Europe,0.0
0,Eswatini,-26.5225,31.4659,2020-03-01,0,0,0,0,Africa,
0,Ethiopia,9.145,40.4897,2020-03-01,0,0,0,0,Africa,
0,Fiji,-17.7134,178.065,2020-03-01,0,0,0,0,Western Pacific,
0,Finland,61.92411,25.748151,2020-03-01,6,0,1,5,Europe,0.0
French Guiana,France,3.9339,-53.1258,2020-03-01,0,0,0,0,Europe,
French Polynesia,France,-17.6797,149.4068,2020-03-01,0,0,0,0,Europe,
Guadeloupe,France,16.265,-61.551,2020-03-01,0,0,0,0,Europe,
Mayotte,France,-12.8275,45.166244,2020-03-01,0,0,0,0,Europe,
New Caledonia,France,-20.904305,165.618042,2020-03-01,0,0,0,0,Europe,
Reunion,France,-21.1151,55.5364,2020-03-01,0,0,0,0,Europe,
Saint Barthelemy,France,17.9,-62.8333,2020-03-01,0,0,0,0,Europe,
St Martin,France,18.0708,-63.0501,2020-03-01,0,0,0,0,Europe,
Martinique,France,14.6415,-61.0242,2020-03-01,0,0,0,0,Europe,
0,France,46.2276,2.2137,2020-03-01,130,2,12,116,Europe,1.5384615384615385
0,Gabon,-0.8037,11.6094,2020-03-01,0,0,0,0,Africa,
0,Gambia,13.4432,-15.3101,2020-03-01,0,0,0,0,Africa,
0,Georgia,42.3154,43.3569,2020-03-01,3,0,0,3,Europe,0.0
0,Germany,51.165691,10.451526,2020-03-01,130,0,16,114,Europe,0.0
0,Ghana,7.9465,-1.0232,2020-03-01,0,0,0,0,Africa,
0,Greece,39.0742,21.8243,2020-03-01,7,0,0,7,Europe,0.0
0,Guatemala,15.7835,-90.2308,2020-03-01,0,0,0,0,Americas,
0,Guinea,9.9456,-9.6966,2020-03-01,0,0,0,0,Africa,
0,Guyana,4.860416000000002,-58.93018000000001,2020-03-01,0,0,0,0,Americas,
0,Haiti,18.9712,-72.2852,2020-03-01,0,0,0,0,Americas,
0,Holy See,41.9029,12.4534,2020-03-01,0,0,0,0,Europe,
0,Honduras,15.2,-86.2419,2020-03-01,0,0,0,0,Americas,
0,Hungary,47.1625,19.5033,2020-03-01,0,0,0,0,Europe,
0,Iceland,64.9631,-19.0208,2020-03-01,3,0,0,3,Europe,0.0
0,India,20.593684,78.96288,2020-03-01,3,0,3,0,South-East Asia,0.0
0,Indonesia,-0.7893,113.9213,2020-03-01,0,0,0,0,South-East Asia,
0,Iran,32.427908,53.68804599999999,2020-03-01,978,54,175,749,Eastern Mediterranean,5.521472392638037
0,Iraq,33.223191,43.679291,2020-03-01,19,0,0,19,Eastern Mediterranean,0.0
0,Ireland,53.1424,-7.6921,2020-03-01,1,0,0,1,Europe,0.0
